theshold     TPR     FPR     Accuracy     PPV     NPV
-79.000000 1.000000 1.000000 0.500000 0.500000 NaN
-77.500000 1.000000 0.950000 0.525000 0.512821 1.000000
-76.500000 0.950000 0.850000 0.550000 0.527778 0.750000
-75.500000 0.900000 0.750000 0.575000 0.545455 0.714286
-74.500000 0.900000 0.600000 0.650000 0.600000 0.800000
-73.500000 0.850000 0.550000 0.650000 0.607143 0.750000
-72.500000 0.750000 0.400000 0.675000 0.652174 0.705882
-71.000000 0.700000 0.250000 0.725000 0.736842 0.714286
-69.500000 0.700000 0.200000 0.750000 0.777778 0.727273
-68.500000 0.700000 0.100000 0.800000 0.875000 0.750000
-67.500000 0.650000 0.100000 0.775000 0.866667 0.720000
-66.500000 0.600000 0.050000 0.775000 0.923077 0.703704
-65.500000 0.450000 0.000000 0.725000 1.000000 0.645161
-63.000000 0.400000 0.000000 0.700000 1.000000 0.625000
-60.500000 0.300000 0.000000 0.650000 1.000000 0.588235
-59.500000 0.250000 0.000000 0.625000 1.000000 0.571429
-58.500000 0.150000 0.000000 0.575000 1.000000 0.540541
-57.500000 0.050000 0.000000 0.525000 1.000000 0.512821
-56.500000 0.000000 0.000000 0.500000 NaN 0.500000
